feature,mean_abs_shap
cycle_ratio,29.44312665575123
s4_rolling_mean_10,3.2210898458767097
s4_rolling_mean_5,0.8998126929792202
s11_rolling_mean_10,0.6921856156228916
sensor_mean,0.6207641066491053
s9_rolling_std_20,0.5411569641110158
s14_rolling_mean_20,0.395190831684579
s9_rolling_mean_20,0.38842076781627893
s11_rolling_mean_5,0.36076269185792187
s15_rolling_mean_10,0.24879673489431073
s3_rolling_mean_10,0.22746245061223394
s2_rolling_mean_10,0.2214350528740201
s20_rolling_mean_20,0.21623214936284485
s4_rolling_std_20,0.19915606570353608
s14_rolling_std_20,0.19392513640642656
s7_rolling_std_20,0.18963517077631084
s17_rolling_mean_20,0.1768177382983379
s11_rolling_std_20,0.17347016191361006
s15_rolling_mean_20,0.16742081304942288
s11_rolling_mean_20,0.16478836618931442
s9_rolling_mean_5,0.13703174758246567
s7_rolling_mean_20,0.12954319568499295
s14_rolling_mean_10,0.12522833201388828
s9_rolling_mean_10,0.12196849134200854
s8_rolling_std_20,0.11561775016213949
s12_rolling_std_20,0.1015886339946429
s21_rolling_std_20,0.09785859605868825
s2_rolling_mean_20,0.09728041327728977
s15_rolling_mean_5,0.09608919795106624
s15_rolling_std_20,0.09550720672280737
s12_rolling_mean_20,0.09098757704903582
s3_rolling_std_20,0.08709083496421799
s2_rolling_std_20,0.08692663233813355
s13_rolling_std_20,0.08538351278331786
s20_rolling_mean_10,0.08437177606513346
s17_rolling_mean_10,0.07930716925157716
s4_rolling_mean_20,0.07738890888256195
s3_rolling_mean_20,0.07357880915514037
s13_rolling_mean_10,0.07319259865088587
s14_rolling_mean_5,0.07254213367444749
s13_rolling_mean_20,0.07158458389094498
s4_rolling_std_10,0.06566114257983405
s2_rolling_mean_5,0.06261569190258467
s17_rolling_std_20,0.05899053914513537
s21_rolling_mean_10,0.05879678236235921
s21_rolling_mean_20,0.057268105606615285
s20_rolling_std_20,0.05369627455698829
s8_rolling_mean_20,0.05357222835129026
s9_rolling_std_10,0.05178048521193645
s7_rolling_std_10,0.04787586647625593
s21_rolling_std_10,0.04695744437563545
s21_rolling_mean_5,0.04569566160834814
s13_rolling_mean_5,0.03923135736186998
s8_rolling_std_10,0.038937698258951776
s11_rolling_std_10,0.0383170912458434
s13_rolling_std_10,0.03739153860804137
s20_rolling_std_10,0.0356627381251395
s12_rolling_std_10,0.03491809637118221
s2_rolling_std_10,0.03439843436947722
s14_rolling_std_10,0.034097920111426455
s7_rolling_mean_10,0.03254147293989472
s15_rolling_std_10,0.031215402536967866
s8_rolling_mean_10,0.03114358427762866
s17_rolling_std_10,0.030931685462064547
s12_rolling_mean_10,0.030098849819049273
s12_rolling_mean_5,0.025947764801200656
s3_rolling_std_10,0.024439378346068557
s8_rolling_mean_5,0.022003925528605577
s3_rolling_mean_5,0.01963819215466918
s7_rolling_mean_5,0.01851006024993169
s4_rolling_std_5,0.016346975635763955
s17_rolling_mean_5,0.015626162720874016
s11_rolling_std_5,0.015070739673605277
s15_rolling_std_5,0.014528355669577461
s20_rolling_mean_5,0.014447460139440814
s20_rolling_std_5,0.013473078156603398
s2_rolling_std_5,0.013154703650797501
s14_rolling_std_5,0.012871943167109582
s7_rolling_std_5,0.012390999597369754
s14,0.01236505757538877
s12_rolling_std_5,0.011179218362026852
s9,0.011064792878595443
s9_rolling_std_5,0.010776340073336332
sensor_std,0.01055330787368081
s3_rolling_std_5,0.010312094694026105
s21_rolling_std_5,0.010223233195855413
s8_rolling_std_5,0.010035781347352805
thermal_load,0.00942338324270475
s13_rolling_std_5,0.008774463466224663
s11,0.00835900121970298
s17_rolling_std_5,0.007830619035720451
s21,0.007345030622205878
s20,0.007321508259642272
s15,0.005987795773316447
s13,0.004971905696782528
s4,0.004828234481703583
s12,0.004544938144567877
s8,0.004089550179833241
s2,0.0039174906295914936
s7,0.003758724204769844
s17,0.0036591090512555044
s3_diff,0.0034152081355936278
s14_diff,0.0032853321756499223
mechanical_stress,0.003242059989493891
pressure_ratio,0.0031767685459972903
s4_diff,0.003044252288167722
s21_diff,0.002945900140599787
s11_diff,0.0028329234126539013
setting_1,0.0027846969564792627
s9_diff,0.0027073038667452588
s3,0.0025586677131191745
s2_diff,0.002518094188032679
s15_diff,0.0024110885474984112
s12_diff,0.0023382920111333066
s7_diff,0.001693343106459879
setting_2,0.0016090561812401095
s20_diff,0.0015559533593850444
s13_diff,0.0015054937805511939
s8_diff,0.0014060248177785936
s17_diff,0.0007349249423052353
s6,4.3245019268046865e-05
s10,0.0
s1,0.0
setting_3,0.0
s16,0.0
s18,0.0
s19,0.0
s5,0.0
